time_days,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cat,S_an,S_Fe2,S_EDTA,S_FeEDTA,X_FeS
0.0,5.0,2.0,0.1,0.05,0.05,0.1,0.5,1e-06,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.0,0.8,0.6,0.5,0.4,0.3,0.2,2.0,0.01,0.01,0.01,0.001,0.0,0.0
1.52587890625e-07,4.999995838510879,1.9999946925942818,0.0999999068506019,0.04999976662796736,0.04999976662796736,0.0999996842086024,0.4999999902111712,8.786476581074449e-07,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.0000004161489122,0.8000004245924576,0.6000000055889639,0.5,0.40000004667440653,0.30000002526331176,0.20000000048944144,2.00000000728114,0.01,0.01,0.009999847418462554,0.0009998474337211463,1.525662788537457e-07,1.5258592589124917e-11
3.0517578125e-07,4.999991677020374,1.999989385187608,0.0999998119718223,0.04999953093258157,0.04999953093258157,0.09999936050180802,0.4999999804223416,7.703572255371744e-07,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.0000008322979628,0.8000008491849914,0.6000000112816906,0.5,0.40000009381348367,0.3000000511598554,0.2000000009788829,2.0000000137785667,0.01,0.01,0.009999694861906957,0.0009996948924239156,3.0510757608473104e-07,3.051695806398436e-11
1.1029497207693016e-06,4.9999699195141085,1.9999616365045119,0.09999929489405686,0.049998271799694766,0.049998271799694766,0.09999756802448892,0.49999992924347614,3.5857062114441085e-07,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.000003008048589,0.800003069079639,0.6000000423063566,0.5,0.40000034564006104,0.30000019455804094,0.2000000035378262,2.000000038485763,0.01,0.01,0.009998897643838538,0.0009988977541271105,1.1022458728896584e-06,1.1028857290759431e-10
1.9007236602886031e-06,4.999948161969889,1.9999338877951731,0.09999874959674578,0.04999697711978639,0.04999697711978639,0.09999563962992582,0.4999998780645868,1.5239648597487136e-07,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.000005183803011,0.8000052889763861,0.6000000750241952,0.5,0.40000060457604275,0.300000348829606,0.20000000609677068,2.0000000508562112,0.01,0.01,0.00999810111085867,0.0009981013009126272,1.8986990873730777e-06,1.900539584259115e-10
2.6984975998079046e-06,4.999926404387153,1.999906139059204,0.09999818820159811,0.049995662831215947,0.049995662831215947,0.09999363163845136,0.49999982688567196,6.136616208800244e-08,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.0000073595612848,0.8000075088752637,0.600000108707904,0.5,0.4000008674337568,0.30000050946892404,0.20000000865571643,2.0000000563180307,0.01,0.01,0.009997305272467644,0.0009973055422806722,2.6944577193280803e-06,2.698130273714707e-10
4.905082466581259e-06,4.999866224290253,1.9998293879288813,0.09999660033728729,0.0499919835735724,0.0499919835735724,0.0999879084576203,0.49999968532836814,6.50219478067111e-08,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.0000133775709745,0.8000136489656894,0.6000002039797626,0.5,0.40000160328528556,0.3000009673233905,0.2000000157335816,2.0000000560986835,0.01,0.01,0.00999510765621437,0.000995108146602317,4.89185339768288e-06,4.903879460206165e-10
6.008374899967936e-06,4.999836134130156,1.9997910122865412,0.09999581229783283,0.04999015253836309,0.04999015253836309,0.09998507176665555,0.4999996145496375,2.034497811162139e-08,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.0000163865869844,0.8000167190170766,0.6000002512621301,0.5,0.4000019694923274,0.30000119425866767,0.20000001927251818,2.000000058779302,0.01,0.01,0.009994010854866633,0.0009940114555237825,5.988544476217401e-06,6.006571472380625e-10
7.111667333354614e-06,4.999806043895965,1.9997526365929874,0.09999502139765527,0.04998831828738976,0.04998831828738976,0.09998222014927974,0.49999954377085537,-4.614761328999688e-09,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.0000193956104033,0.8000197890725609,0.6000002987161404,0.5,0.400002336342522,0.3000014223880577,0.20000002281145723,2.0000000602768866,0.01,0.01,0.009992915382678288,0.000992916093592541,7.083906407458894e-06,7.109142521385305e-10
8.214959766741291e-06,4.999775953587762,1.999714260848282,0.09999422714114051,0.04998647998144535,0.04998647998144535,0.09997935188700187,0.49999947299202174,-5.545313418445279e-09,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.0000224046412236,0.8000228591321373,0.6000003463715313,0.5,0.4000027040037109,0.30000165184903993,0.20000002635039896,2.0000000603327193,0.01,0.01,0.00999182123625806,0.0009918220574173494,8.177942582650461e-06,8.211592891394372e-10
9.318252200127969e-06,4.999745863205523,1.9996758850524088,0.0999934319956972,0.04998464056202976,0.04998464056202976,0.09997647944236188,0.4999994022131363,1.3791033934631823e-10,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.0000254136794473,0.8000259291958072,0.600000394080258,0.5,0.40000307188759404,0.30000188164461117,0.20000002988934326,2.000000059991726,0.01,0.01,0.009990728414247982,0.0009907293456402498,9.270654359749946e-06,9.313922682047956e-10
1.146685539580815e-05,4.99968726357767,1.9996011500889077,0.09999188481998812,0.04998106005586655,0.04998106005586655,0.09997089235924154,0.4999992643748815,2.0359406659198735e-09,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.0000312736422325,0.8000319079928871,0.6000004869108005,0.5,0.40000378798882674,0.30000232861126075,0.20000003678125597,2.000000059877844,0.01,0.01,0.009988603995749348,0.0009886051417799108,1.139485822008875e-05,1.1460305636031357e-09
